date,"Constructed Equally-Weighted Renewable Market Index, 2001:01=100"
2001-01-02,100
2001-01-03,105.12495684
2001-01-04,105.902705573
2001-01-05,103.8781969946
2001-01-08,104.635071031
2001-01-09,105.5579622664
2001-01-10,108.3082416381
2001-01-11,113.27466589
2001-01-12,116.2601079392
2001-01-16,119.4394804586
2001-01-17,120.5428799845
2001-01-18,123.4308006295
2001-01-19,122.9740320903
2001-01-22,123.2175847187
2001-01-23,124.6466443011
2001-01-24,125.0320984678
2001-01-25,123.6177093257
2001-01-26,123.6614171977
2001-01-29,124.5954318818
2001-01-30,126.4437752607
2001-01-31,126.2564606554
2001-02-01,125.4306329283
2001-02-02,123.9750509348
2001-02-05,122.4217158612
2001-02-06,124.1989361376
2001-02-07,123.4924680099
2001-02-08,122.8811211157
2001-02-09,120.5689976208
2001-02-12,121.4201607412
2001-02-13,121.3122801911
2001-02-14,123.5530292132
2001-02-15,126.0108773454
2001-02-16,122.5806525522
2001-02-20,119.6441168262
2001-02-21,117.8840820792
2001-02-22,116.4232576183
2001-02-23,115.569527081
2001-02-26,116.7856543856
2001-02-27,114.8952012035
2001-02-28,113.3408725876
2001-03-01,113.7119140067
2001-03-02,114.9584844232
2001-03-05,116.1300969914
2001-03-06,118.2418961882
2001-03-07,119.6198342858
2001-03-08,119.1077592158
2001-03-09,115.855401504
2001-03-12,111.8111151122
2001-03-13,113.7621154108
2001-03-14,111.5928140726
2001-03-15,112.1723027675
2001-03-16,109.6588568128
2001-03-19,112.1266836905
2001-03-20,111.2745080448
2001-03-21,109.3766958059
2001-03-22,109.2858185813
2001-03-23,112.4448663319
2001-03-26,113.930127149
2001-03-27,116.0876991089
2001-03-28,112.8899667011
2001-03-29,112.0591847358
2001-03-30,115.6132164896
2001-04-02,111.0692413386
2001-04-03,106.1167228673
2001-04-04,105.0001748703
2001-04-05,111.1765793771
2001-04-06,108.4574619774
2001-04-09,109.7232690162
2001-04-10,114.3455651724
2001-04-11,116.3711158684
2001-04-12,118.6246631366
2001-04-16,117.4824917479
2001-04-17,118.6649077496
2001-04-18,124.6014992383
2001-04-19,127.0132417237
2001-04-20,125.5501722167
2001-04-23,123.6225075658
2001-04-24,123.8759800647
2001-04-25,125.4914880086
2001-04-26,125.7197635634
2001-04-27,127.6653279845
2001-04-30,129.9901907425
2001-05-01,131.573626981
2001-05-02,132.9103122458
2001-05-03,131.2161681862
2001-05-04,133.3204996421
2001-05-07,132.8326563228
2001-05-08,134.2935996893
2001-05-09,134.5430990142
2001-05-10,134.1337768623
2001-05-11,133.5167838488
2001-05-14,133.5911582651
2001-05-15,134.6612999771
2001-05-16,137.1806361568
2001-05-17,141.9025708495
2001-05-18,147.0095157823
2001-05-21,150.8443217892
2001-05-22,150.9183486401
2001-05-23,147.3411608891
2001-05-24,148.1035654526
2001-05-25,148.590695052
2001-05-29,145.460715643
2001-05-30,140.4066103476
2001-05-31,143.3396342345
2001-06-01,144.6770811184
2001-06-04,144.7030672345
2001-06-05,146.8946660344
2001-06-06,145.9930632979
2001-06-07,146.6234430961
2001-06-08,145.4535376934
2001-06-11,144.5568802695
2001-06-12,143.5991984691
2001-06-13,141.086611874
