date,"Wilderhill New Energy Global Index (NEX), 2001:01=100"
2001-01-02,100
2001-01-03,104.7904
2001-01-04,102.7507
2001-01-05,100.2807
2001-01-08,101.0791
2001-01-09,100.8733
2001-01-10,101.7278
2001-01-11,105.2582
2001-01-12,106.6367
2001-01-16,107.3291
2001-01-17,108.5017
2001-01-18,110.1672
2001-01-19,111.0529
2001-01-22,110.4042
2001-01-23,111.5768
2001-01-24,110.8346
2001-01-25,109.1068
2001-01-26,108.8511
2001-01-29,110.0736
2001-01-30,112.2942
2001-01-31,112.4563
2001-02-01,112.5686
2001-02-02,110.0611
2001-02-05,109.2877
2001-02-06,109.8491
2001-02-07,109.0007
2001-02-08,107.1295
2001-02-09,105.2832
2001-02-12,105.4516
2001-02-13,104.7093
2001-02-14,106.4247
2001-02-15,107.9029
2001-02-16,105.5264
2001-02-20,102.7695
2001-02-21,100.8046
2001-02-22,99.38873
2001-02-23,98.92091
2001-02-26,99.24526
2001-02-27,98.11626
2001-02-28,94.91018
2001-03-01,95.07236
2001-03-02,93.90594
2001-03-05,94.66068
2001-03-06,97.31163
2001-03-07,98.12875
2001-03-08,97.31786
2001-03-09,94.52345
2001-03-12,91.56686
2001-03-13,90.93687
2001-03-14,89.45235
2001-03-15,89.88274
2001-03-16,87.43139
2001-03-19,88.89097
2001-03-20,88.17365
2001-03-21,88.75375
2001-03-22,89.23403
2001-03-23,92.29665
2001-03-26,93.72505
2001-03-27,94.09306
2001-03-28,91.91617
2001-03-29,89.96382
2001-03-30,89.96382
2001-04-02,87.17565
2001-04-03,84.64945
2001-04-04,83.28967
2001-04-05,88.60404
2001-04-06,87.24426
2001-04-09,86.40843
2001-04-10,90.16342
2001-04-11,91.94736
2001-04-12,95.05364
2001-04-16,92.74576
2001-04-17,93.03893
2001-04-18,98.9521
2001-04-19,102.364
2001-04-20,101.6904
2001-04-23,98.35329
2001-04-24,96.9748
2001-04-25,98.90843
2001-04-26,98.95834
2001-04-27,100.2245
2001-04-30,103.5803
2001-05-01,105.5327
2001-05-02,107.0609
