date,"WTI Crude Oil Price, 2001:01=100"
2001-01-02,100
2001-01-03,102.3452
2001-01-04,102.4185
2001-01-05,102.675
2001-01-08,100.5497
2001-01-09,101.5757
2001-01-10,107.8051
2001-01-11,107.8051
2001-01-12,110.1869
2001-01-16,110.6266
2001-01-17,109.0876
2001-01-18,111.4694
2001-01-19,117.6988
2001-01-22,118.0286
2001-01-23,116.0132
2001-01-24,115.2803
2001-01-25,115.83
2001-01-26,109.1609
2001-01-29,106.5225
2001-01-30,106.7057
2001-01-31,104.8736
2001-02-01,109.4907
2001-02-02,114.5841
2001-02-05,111.9458
2001-02-06,110.9198
2001-02-07,114.5841
2001-02-08,115.6834
2001-02-09,113.3382
2001-02-12,111.8358
2001-02-13,110.3701
2001-02-14,108.2814
2001-02-15,106.1195
2001-02-16,107.0722
2001-02-20,104.8003
2001-02-21,104.9469
2001-02-22,104.5071
2001-02-23,105.6431
2001-02-26,103.5911
2001-02-27,103.5544
2001-02-28,100.2199
2001-03-01,101.7955
2001-03-02,102.1986
2001-03-05,104.8369
2001-03-06,104.0674
2001-03-07,106.0828
2001-03-08,103.7376
2001-03-09,102.4918
2001-03-12,102.2719
2001-03-13,100.5863
2001-03-14,97.06852
2001-03-15,97.32503
2001-03-16,97.76475
2001-03-19,95.89594
2001-03-20,95.23635
2001-03-21,96.84866
2001-03-22,95.96922
2001-03-23,100.0733
2001-03-26,100.4031
2001-03-27,101.2092
2001-03-28,96.84866
2001-03-29,96.99524
2001-03-30,96.6288
2001-04-02,94.17369
2001-04-03,97.65482
2001-04-04,99.52364
2001-04-05,99.81678
2001-04-06,99.19385
2001-04-09,100.5863
2001-04-10,104.3239
2001-04-11,104.1407
2001-04-12,105.3499
2001-04-16,105.5698
2001-04-17,102.1986
2001-04-18,101.9787
2001-04-19,102.3085
2001-04-20,98.93734
2001-04-23,98.82741
2001-04-24,92.48809
2001-04-25,95.01649
2001-04-26,104.3239
2001-04-27,103.8842
2001-04-30,104.3606
2001-05-01,103.9575
2001-05-02,102.1986
2001-05-03,105.0202
2001-05-04,104.1041
2001-05-07,101.8322
2001-05-08,100.2199
2001-05-09,104.0308
2001-05-10,104.4339
2001-05-11,104.7636
2001-05-14,105.6431
2001-05-15,105.8996
2001-05-16,105.4232
2001-05-17,106.3393
2001-05-18,109.5639
2001-05-21,109.7838
2001-05-22,109.0143
2001-05-23,105.7164
2001-05-24,102.4918
2001-05-25,102.8948
2001-05-29,105.3866
2001-05-30,105.2034
2001-05-31,104.0308
2001-06-01,102.162
2001-06-04,103.1147
2001-06-05,102.0154
2001-06-06,100.9894
2001-06-07,102.2719
2001-06-08,104.1774
2001-06-11,106.0462
2001-06-12,106.7424
2001-06-13,105.5698
