date,"Constructed Value-Weighted Renewable Market Index, 2001:01=100"
2001-01-02,100
2001-01-03,104.9321224
2001-01-04,103.4333846712
2001-01-05,101.0224779289
2001-01-08,101.6831084024
2001-01-09,101.2861941237
2001-01-10,101.8083652727
2001-01-11,103.799199675
2001-01-12,105.0821216402
2001-01-16,103.6216296287
2001-01-17,105.7289256564
2001-01-18,109.7339219767
2001-01-19,110.3906774586
2001-01-22,110.6036446218
2001-01-23,112.1453940279
2001-01-24,112.4185522275
2001-01-25,111.6525490416
2001-01-26,111.7909354649
2001-01-29,113.2079570734
2001-01-30,114.2325325002
2001-01-31,113.82671815
2001-02-01,112.9283486196
2001-02-02,111.9252010284
2001-02-05,111.7958127874
2001-02-06,112.7057100981
2001-02-07,113.4906243448
2001-02-08,112.8140858736
2001-02-09,112.4883861926
2001-02-12,112.5356000092
2001-02-13,111.830941492
2001-02-14,113.7295061214
2001-02-15,115.2557985488
2001-02-16,113.2088579869
2001-02-20,112.4891066909
2001-02-21,112.6623254153
2001-02-22,110.559723499
2001-02-23,109.8775466217
2001-02-26,111.7259777358
2001-02-27,109.2535331978
2001-02-28,106.704523894
2001-03-01,108.0854375983
2001-03-02,108.9756437026
2001-03-05,110.8610066531
2001-03-06,113.2435651686
2001-03-07,114.2832886533
2001-03-08,115.4460341686
2001-03-09,111.9421064183
2001-03-12,108.6153375777
2001-03-13,107.5532100123
2001-03-14,105.3494403833
2001-03-15,105.4290651021
2001-03-16,103.3691147908
2001-03-19,105.4167867155
2001-03-20,103.8750294826
2001-03-21,102.4603893921
2001-03-22,102.7376368675
2001-03-23,103.7350388628
2001-03-26,105.5814682908
2001-03-27,108.1842940893
2001-03-28,105.8328571454
2001-03-29,105.003577769
2001-03-30,105.9678426657
2001-04-02,104.4479182937
2001-04-03,101.9413249265
2001-04-04,100.3785111307
2001-04-05,104.6652179287
2001-04-06,101.7917558449
2001-04-09,103.0983532045
2001-04-10,107.835916988
2001-04-11,109.0415410877
2001-04-12,111.2865959487
2001-04-16,110.7683688815
2001-04-17,112.0900519969
2001-04-18,117.8364370076
2001-04-19,119.5154165419
2001-04-20,117.8089920849
2001-04-23,116.1562195288
2001-04-24,115.8483175935
2001-04-25,117.0414624007
2001-04-26,117.3233416646
2001-04-27,118.5976821783
2001-04-30,118.8829956703
2001-05-01,119.0440264803
2001-05-02,118.9746450622
2001-05-03,116.6009683674
2001-05-04,117.8540155551
2001-05-07,116.365169489
2001-05-08,116.4986712799
2001-05-09,116.2693916313
2001-05-10,115.9593138721
2001-05-11,115.8515833442
2001-05-14,115.0836942923
2001-05-15,115.0767777623
2001-05-16,119.4306983622
2001-05-17,121.6048950885
2001-05-18,122.6776891438
2001-05-21,125.2843543375
2001-05-22,124.5641404635
2001-05-23,121.8063578202
2001-05-24,121.4862483854
2001-05-25,120.4805625276
2001-05-29,117.2336425599
2001-05-30,114.776829059
2001-05-31,116.6260936102
2001-06-01,117.1646871038
2001-06-04,116.1782755059
2001-06-05,117.156369777
2001-06-06,117.0040462869
2001-06-07,117.7722858923
2001-06-08,117.231748634
2001-06-11,116.1397396082
2001-06-12,116.1025610361
2001-06-13,114.4530495392
2001-06-14,111.2728460371
2001-06-15,111.4354754187
2001-06-18,110.5124153147
2001-06-19,110.296471635
2001-06-20,110.3525852958
2001-06-21,109.3056549691
2001-06-22,109.2155251003
2001-06-25,109.0827492963
2001-06-26,109.3104119972
2001-06-27,109.1419789392
2001-06-28,109.6956038211
2001-06-29,110.6365361381
2001-07-02,110.7124344172
2001-07-03,111.6046897294
2001-07-05,111.3165690758
2001-07-06,109.1995748655
2001-07-09,110.0579111405
2001-07-10,109.8478701075
2001-07-11,109.945131356
2001-07-12,112.1472674694
2001-07-13,112.020442233
2001-07-16,110.3705054504
2001-07-17,112.3404980287
2001-07-18,109.5544450386
2001-07-19,110.7694879938
2001-07-20,109.3091465744
2001-07-23,107.0725738315
2001-07-24,103.8703283259
2001-07-25,105.0509914258
2001-07-26,108.1962157139
2001-07-27,108.977982764
2001-07-30,109.638171024
2001-07-31,109.7993704261
2001-08-01,111.2823838687
2001-08-02,112.4431020318
2001-08-03,112.5568151787
2001-08-06,110.4833962038
2001-08-07,109.5660839976
2001-08-08,106.0891551506
2001-08-09,105.8717778776
2001-08-10,107.1544269277
2001-08-13,107.0794886185
2001-08-14,106.8361998336
2001-08-15,106.1717791073
2001-08-16,106.2008579651
2001-08-17,103.2065100659
2001-08-20,102.1055972647
2001-08-21,100.7112364691
2001-08-22,102.9662741121
2001-08-23,102.5701954547
2001-08-24,104.9605722995
2001-08-27,105.629802252
2001-08-28,103.4810023633
2001-08-29,102.5091219105
2001-08-30,100.8514290943
2001-08-31,102.2379958995
2001-09-04,102.0067838129
2001-09-05,100.8925163414
2001-09-06,99.5683206185
2001-09-07,98.1027580487
2001-09-10,97.2730241198
2001-09-17,91.004565442
2001-09-18,86.86338652
2001-09-19,84.4459382902
2001-09-20,81.9342970665
2001-09-21,81.8544455884
2001-09-24,84.2452551464
2001-09-25,84.6650815945
2001-09-26,80.7815531694
2001-09-27,80.8750793859
2001-09-28,84.2214500043
2001-10-01,83.6340547779
2001-10-02,85.3040184525
2001-10-03,87.883388346
2001-10-04,89.1775719098
2001-10-05,89.293864734
2001-10-08,89.4090620346
2001-10-09,87.9266701575
2001-10-10,91.6789906609
2001-10-11,94.3775291132
2001-10-12,93.7656870856
2001-10-15,92.9549315329
2001-10-16,94.2932899816
2001-10-17,91.7882743649
2001-10-18,90.1910762496
2001-10-19,91.2295586328
2001-10-22,93.9019301561
2001-10-23,92.9678496547
2001-10-24,92.1016443346
2001-10-25,94.937670117
2001-10-26,95.4245459866
2001-10-29,93.0669171309
2001-10-30,91.1221873498
2001-10-31,92.681022254
2001-11-01,95.2710614673
2001-11-02,95.5307389795
2001-11-05,97.6836877119
2001-11-06,98.8627473959
2001-11-07,97.7425845294
2001-11-08,98.2466485407
2001-11-09,98.5149095899
2001-11-12,98.67995679
2001-11-13,101.1846995795
2001-11-14,100.7726124548
2001-11-15,99.8650413779
2001-11-16,99.7173846927
2001-11-19,100.2218027797
2001-11-20,98.9471618576
2001-11-21,98.1617135082
2001-11-23,99.5101835046
2001-11-26,100.2593314424
2001-11-27,100.733661618
2001-11-28,97.9041466245
2001-11-29,99.2918695952
2001-11-30,98.6490516087
2001-12-03,96.6636636037
2001-12-04,99.7296511009
2001-12-05,103.0654105952
2001-12-06,103.1071057071
2001-12-07,102.2873895239
2001-12-10,99.520670347
2001-12-11,98.5217091068
2001-12-12,99.100800511
2001-12-13,96.9130902549
2001-12-14,97.1460645655
2001-12-17,97.9764399136
2001-12-18,98.8710024623
2001-12-19,99.5515036116
2001-12-20,98.0926945336
2001-12-21,98.1603055118
2001-12-24,98.8463228267
2001-12-26,99.7327772528
2001-12-27,101.0369227219
2001-12-28,101.5137845542
2001-12-31,100.4009703888
2002-01-02,101.3427534487
2002-01-03,103.0171959535
2002-01-04,103.7070297246
2002-01-07,103.2884315337
2002-01-08,103.0466352882
2002-01-09,102.5708110815
2002-01-10,101.5783971996
2002-01-11,98.851283685
2002-01-14,98.4080185744
2002-01-15,98.2015168264
2002-01-16,96.3895192206
2002-01-17,96.937501281
2002-01-18,96.4633306696
2002-01-22,94.971741628
2002-01-23,96.3540242526
2002-01-24,96.4075752948
2002-01-25,97.8809653267
