date,retew,csadew
2007-08-20,0.00997608,0.0238608742
2007-08-21,-0.001584928,0.0171654634
2007-08-22,0.01296596,0.0197723872
2007-08-23,-0.008185136,0.0179263814
2007-08-24,0.009310488,0.0148570527
2007-08-27,-0.0078795726,0.0201037451
2007-08-28,-0.0245192903,0.017461076
2007-08-29,0.025249621,0.0200416872
2007-08-30,0.0003414274,0.0179564824
2007-08-31,0.0166705806,0.0181607388
2007-09-04,0.0203428387,0.0196460947
2007-09-05,-0.0098518548,0.0170262812
2007-09-06,0.0072365323,0.0158947451
2007-09-07,-0.0208021855,0.0179494053
2007-09-10,-0.0076397984,0.016641779
2007-09-11,0.0162795403,0.0206878245
2007-09-12,-0.0044849516,0.0199627765
2007-09-13,-0.0023495323,0.015305672
2007-09-14,0.0054439435,0.017135611
2007-09-17,-0.0105534677,0.0136911626
2007-09-18,0.0361593226,0.0245000848
2007-09-19,0.0101481935,0.0194314318
2007-09-20,0.0030757886,0.0251350481
2007-09-21,0.0160118455,0.0222385408
2007-09-24,-0.0026197724,0.0242963929
2007-09-25,0.0031349675,0.024140059
2007-09-26,0.010789122,0.0208580313
2007-09-27,0.0015010325,0.0256733352
2007-09-28,-0.0022712764,0.0218859355
2007-10-01,0.0173212276,0.022644126
2007-10-02,0.0048210976,0.0208738299
2007-10-03,-0.0091726016,0.0197743854
2007-10-04,0.0065157805,0.0191655296
2007-10-05,0.0171008211,0.0204962517
2007-10-08,-0.0055383659,0.0172983304
2007-10-09,0.0112720325,0.0189274495
2007-10-10,0.0023297317,0.0161358477
2007-10-11,-0.0099033415,0.0198039976
2007-10-12,0.0135821545,0.0207494516
2007-10-15,-0.0088060325,0.0181897071
2007-10-16,-0.0055145203,0.017063906
2007-10-17,0.0037116829,0.0203596613
2007-10-18,0.011404065,0.0184420966
2007-10-19,-0.033809439,0.020094464
2007-10-22,0.0097244797,0.0224138143
2007-10-23,0.0107843577,0.0216867173
2007-10-24,-0.0042846016,0.0182120243
2007-10-25,-0.0060419919,0.0208032433
2007-10-26,0.0212737561,0.0224961586
2007-10-29,0.017057065,0.0234778344
2007-10-30,-0.0097309106,0.0200388913
2007-10-31,0.0197527154,0.0238412347
2007-11-01,-0.0284139431,0.0243689977
2007-11-02,0.0059832033,0.0248515705
2007-11-05,-0.0029979593,0.02258203
2007-11-06,0.0246636016,0.0319010457
2007-11-07,-0.0263842683,0.0217380884
2007-11-08,0.0087359756,0.0313501503
2007-11-09,-0.0303106341,0.0310240182
2007-11-12,-0.0365106341,0.0370162709
2007-11-13,0.0225272195,0.0255090014
2007-11-14,0.0057195041,0.024731086
2007-11-15,-0.0130048049,0.0206842169
2007-11-16,0.0023609512,0.0240586484
2007-11-19,-0.0280815161,0.029069872
2007-11-20,-0.0075896532,0.0251726575
2007-11-21,-0.0218648548,0.0231577898
2007-11-23,0.0200291452,0.0194593621
2007-11-26,-0.0149984597,0.0261710652
2007-11-27,0.0003681532,0.023497095
2007-11-28,0.0317023226,0.0253227425
2007-11-29,0.0182421613,0.0338724979
2007-11-30,0.0026738629,0.0205090014
2007-12-03,-0.0071906532,0.0267402408
2007-12-04,-0.0001689274,0.0228240761
2007-12-05,0.011801379,0.0236470137
2007-12-06,0.0249928629,0.0264132206
2007-12-07,0.0162734758,0.0294323543
2007-12-10,0.0116292903,0.0208437726
2007-12-11,-0.0291532016,0.0269264277
2007-12-12,0.0118702823,0.0244555771
2007-12-13,-0.0025230403,0.0263624442
2007-12-14,-0.0014980081,0.0238774581
2007-12-17,-0.0324582823,0.0285912149
2007-12-18,0.02088275,0.0285793911
2007-12-19,0.0110761048,0.0226685385
2007-12-20,0.013953208,0.0233093436
2007-12-21,0.02202872,0.0286669824
2007-12-24,0.011959672,0.0265299366
2007-12-26,0.016421088,0.026779298
2007-12-27,-0.00975404,0.0303035834
2007-12-28,0.003292152,0.0273079932
2007-12-31,-0.009553504,0.0217129722
2008-01-02,-0.00350264,0.0273808582
2008-01-03,0.012686376,0.0273624132
2008-01-04,-0.03565392,0.026595689
2008-01-07,-0.016697328,0.0301642176
2008-01-08,-0.016183592,0.0279539793
2008-01-09,0.003229224,0.0287863144
2008-01-10,0.002704856,0.0206182478
2008-01-11,-0.020840976,0.0254717213
2008-01-14,0.007976304,0.0212301604
2008-01-15,-0.037051808,0.031806636
2008-01-16,-0.018536168,0.034378076
2008-01-17,-0.038418736,0.0315783057
2008-01-18,-0.0129862,0.0292764224
2008-01-22,-0.015400744,0.0253518223
2008-01-23,0.010869648,0.0354594259
2008-01-24,0.01468736,0.0290098886
2008-01-25,0.002962464,0.0250792974
2008-01-28,0.012869056,0.0252997542
2008-01-29,0.007362648,0.0227982825
2008-01-30,-0.008181464,0.0206899066
2008-01-31,0.0110444,0.0237697376
2008-02-01,0.02529116,0.0233271418
2008-02-04,0.005132864,0.0277951887
2008-02-05,-0.037007296,0.0232702871
2008-02-06,-0.019731888,0.0218569821
2008-02-07,0.006058952,0.0328023965
2008-02-08,0.0061111905,0.0215437354
2008-02-11,0.0202228651,0.0292932426
2008-02-12,-0.0021878889,0.0256136896
2008-02-13,0.0379492302,0.033670948
2008-02-14,-0.0147079127,0.0239223827
2008-02-15,-0.0121667063,0.0188721135
2008-02-19,0.0035965317,0.0227390576
2008-02-20,0.0068481032,0.0226455684
2008-02-21,-0.0137949286,0.0221173481
2008-02-22,-0.0045504127,0.0212118806
2008-02-25,0.0201620952,0.0259229788
2008-02-26,0.0054564921,0.0222345324
2008-02-27,-0.00792,0.0281754762
2008-02-28,-0.005384246,0.0242192502
2008-02-29,-0.0264061032,0.0201503566
2008-03-03,0.0030356508,0.0250473016
2008-03-04,-0.0145518016,0.0211388971
2008-03-05,0.019516873,0.026091964
2008-03-06,-0.0310932778,0.0246490317
2008-03-07,-0.011292619,0.0244967203
2008-03-10,-0.0381511825,0.0321892606
2008-03-11,0.0378998254,0.0295635797
2008-03-12,-0.0007987063,0.0246144645
2008-03-13,0.0157722143,0.0249920295
2008-03-14,-0.0256042143,0.0234625488
2008-03-17,-0.0312437302,0.0304330159
2008-03-18,0.0312140556,0.0340620168
2008-03-19,-0.0328195714,0.0323007982
2008-03-20,0.0107338175,0.033342526
2008-03-24,0.0309317063,0.0276506289
2008-03-25,0.0275487778,0.0358700723
2008-03-26,0.0025259603,0.0223090353
2008-03-27,-0.0023038492,0.0369012906
2008-03-28,-0.0075067143,0.0279332449
2008-03-31,0.0035825873,0.0242986248
2008-04-01,0.0251515317,0.0222156999
2008-04-02,0.0206320317,0.0275567561
2008-04-03,0.0097743333,0.0258587937
2008-04-04,0.0185282698,0.0273746095
2008-04-07,-0.007258381,0.0246001051
2008-04-08,-0.0019411349,0.0162708822
2008-04-09,-0.0148138571,0.0197792404
2008-04-10,0.0109887222,0.0236704674
2008-04-11,-0.0236860476,0.0244930491
2008-04-14,-0.002973381,0.0238088632
2008-04-15,0.0119707698,0.020560721
2008-04-16,0.0373653333,0.0273746931
2008-04-17,-0.0105790157,0.0197040963
2008-04-18,0.0129378189,0.0218649041
2008-04-21,0.0058246299,0.0194174305
2008-04-22,-0.0137654173,0.0255699297
2008-04-23,-0.0031791575,0.0245068989
2008-04-24,-0.0011037717,0.0213331156
2008-04-25,0.0100494016,0.0249347513
2008-04-28,0.009500874,0.0233337292
2008-04-29,-0.0120855354,0.0200718394
2008-04-30,0.0002670236,0.0198919428
2008-05-01,0.0048410945,0.0245566473
2008-05-02,0.0055301654,0.0248791272
2008-05-05,-0.0042507638,0.024275887
2008-05-06,0.0151847795,0.0282286741
2008-05-07,-0.0143038189,0.0246843099
2008-05-08,0.0169915197,0.03282197
2008-05-09,-0.0008133643,0.0219197906
2008-05-12,0.0117424031,0.0250600276
2008-05-13,0.0122171473,0.0338639031
2008-05-14,0.0079963566,0.0292533194
2008-05-15,0.010919876,0.0221823887
2008-05-16,0.0116197674,0.0232682924
2008-05-19,0.0177033721,0.0401056337
2008-05-20,-0.0007162636,0.0253788841
2008-05-21,-0.015634124,0.0227277762
2008-05-22,-0.0058157132,0.0272379633
2008-05-23,-0.0062333643,0.023697551
2008-05-27,0.0089922171,0.0237390007
2008-05-28,0.013412876,0.0254592278
2008-05-29,-0.0064909535,0.0265991383
2008-05-30,0.0172229302,0.0272034393
2008-06-02,-0.0070805504,0.0222413771
2008-06-03,-0.0053894729,0.0205382366
2008-06-04,-0.0050196124,0.0212714088
2008-06-05,0.0181575194,0.0293236614
2008-06-06,-0.0196625736,0.0247785202
2008-06-09,-0.0132919612,0.0305223741
2008-06-10,-0.0107424729,0.0274197577
2008-06-11,-0.0139520233,0.0244281951
2008-06-12,-0.0000683,0.0246520018
2008-06-13,0.018965124,0.0214994409
2008-06-16,0.0143072791,0.0310875648
2008-06-17,0.0035038992,0.0252724021
2008-06-18,-0.0064584341,0.0237363883
2008-06-19,0.0071050775,0.0282406555
2008-06-20,-0.0165123828,0.02484495
2008-06-23,-0.00255525,0.0310667891
2008-06-24,-0.0205219141,0.0226669949
2008-06-25,0.0021387734,0.0255963451
2008-06-26,-0.0226423672,0.0352010474
2008-06-27,0.0056041953,0.0389081012
2008-06-30,0.0026666719,0.0360862195
2008-07-01,-0.0130453906,0.0337826045
2008-07-02,-0.0329706953,0.0285469575
2008-07-03,-0.0160268062,0.0266173896
2008-07-07,-0.0149773876,0.027460002
2008-07-08,0.0096773333,0.0293768579
2008-07-09,-0.0168320388,0.0251025966
2008-07-10,0.0193354186,0.0261706634
2008-07-11,0.0049791938,0.025906809
2008-07-14,0.0009481783,0.0283070035
2008-07-15,-0.0062100078,0.0257673408
2008-07-16,0.0225202016,0.0359763333
