date,"Cumulative Monthly Alpha from Multi-Factor Model, 2001:01=100"
2001-01-31,100
2001-02-28,109.1753
2001-03-30,123.3237092406
2001-04-30,115.9543036769
2001-05-31,130.7123297003
2001-06-29,129.3036037094
2001-07-31,126.3752908569
2001-08-31,122.7592009219
2001-09-28,126.1178312795
2001-10-31,128.7793337083
2001-11-30,118.81398965
2001-12-31,122.660176716
2002-01-31,121.6462308972
2002-02-28,121.7523915629
2002-03-28,121.7523915629
2002-04-30,121.7523915629
2002-05-31,119.1127510129
2002-06-28,116.3901313066
2002-07-31,109.8242148292
2002-08-30,108.8102517834
2002-09-30,109.994205252
2002-10-31,105.5530352231
2002-11-29,105.5530352231
2002-12-31,105.5530352231
2003-01-31,108.9617649426
2003-02-28,104.5777754995
2003-03-31,107.8898373118
2003-04-30,114.1088233141
2003-05-30,113.565585439
2003-06-30,113.4225041579
2003-07-31,114.9049589717
2003-08-29,123.6191787027
2003-09-30,130.4446138641
2003-10-31,133.558835531
2003-11-28,133.558835531
2003-12-31,133.558835531
2004-01-30,137.5269753817
2004-02-27,137.063358195
2004-03-31,138.6776767215
2004-04-30,138.7461973615
2004-05-28,138.7461973615
2004-06-30,138.7461973615
2004-07-30,134.3003113356
2004-08-31,136.4049046545
2004-09-30,132.799763946
2004-10-29,131.12100229
2004-11-30,138.4099007984
2004-12-31,138.4099007984
2005-01-31,138.4099007984
2005-02-28,143.8492714899
2005-03-31,141.9037964025
2005-04-29,138.565765019
2005-05-31,137.9185936135
2005-06-30,146.1180884654
2005-07-29,147.8796443045
2005-08-31,152.7806123242
2005-09-30,157.1542323571
2005-10-31,150.1647192959
2005-11-30,152.1863418623
2005-12-30,153.8722925948
2006-01-31,171.380943765
2006-02-28,174.4511819583
2006-03-31,180.1274396266
2006-04-28,186.2243571776
2006-05-31,186.6927673032
2006-06-30,184.6116096797
2006-07-31,179.0301915008
2006-08-31,176.3492680921
2006-09-29,165.9186144878
2006-10-31,171.7978244491
2006-11-30,174.7585709759
2006-12-29,172.8816639236
2007-01-31,175.3775219293
2007-02-28,183.5629170103
2007-03-30,182.4071865285
2007-04-30,178.6177866727
2007-05-31,179.9765500377
2007-06-29,185.9027098914
2007-07-31,186.3961700446
2007-08-31,182.705171725
2007-09-28,184.5066081771
2007-10-31,186.6847271373
2007-11-30,186.8610321936
2007-12-31,202.7915331435
2008-01-31,196.8673638066
2008-02-29,196.4764836557
2008-03-31,192.6727775228
2008-04-30,192.6560535257
2008-05-30,198.452842989
2008-06-30,202.4079883045
2008-07-31,196.7974210359
2008-08-29,199.1396252221
2008-09-30,191.6703758151
2008-10-31,189.193189544
2008-11-28,186.7021206559
2008-12-31,195.6543753201
2009-01-30,203.4871243199
2009-02-27,192.3830150842
2009-03-31,190.3735937299
2009-04-30,207.5535540983
2009-05-29,204.4483661308
2009-06-30,210.3060980482
2009-07-31,205.1461538101
2009-08-31,202.6162093829
2009-09-30,210.7893622986
2009-10-30,200.6987068939
2009-11-30,197.3401545231
2009-12-31,205.8050012493
2010-01-29,207.4199325136
2010-02-26,195.1193289977
2010-03-31,191.1522798722
2010-04-30,195.7336265639
2010-05-28,195.7336265639
2010-06-30,195.7336265639
2010-07-30,197.4854229482
2010-08-31,200.077912838
2010-09-30,195.4963087041
2010-10-29,192.35591465
2010-11-30,186.9858761095
2010-12-31,187.08383801
2011-01-31,189.5879925986
2011-02-28,186.518411328
2011-03-31,187.1964617087
2011-04-29,171.4688889032
2011-05-31,166.8637661008
2011-06-30,164.8113918369
2011-07-29,159.3120971632
2011-08-31,155.5407496807
2011-09-30,141.7162567409
2011-10-31,135.3387417551
2011-11-30,130.2675584999
2011-12-30,126.684458116
2012-01-31,133.7605705455
2012-02-29,125.4842556275
2012-03-30,117.9167519139
2012-04-30,114.2831118286
2012-05-31,114.2650779536
2012-06-29,114.0373362267
2012-07-31,107.6517699698
2012-08-31,102.6739413612
2012-09-28,106.5281465742
2012-10-31,107.7746856813
2012-11-30,102.0833631898
2012-12-31,104.453708258
2013-01-31,107.4954315786
2013-02-28,110.493651158
2013-03-28,110.493651158
2013-04-30,110.493651158
2013-05-31,118.3261483115
2013-06-28,120.4442100315
2013-07-31,123.3636692828
2013-08-30,119.5694592613
2013-09-30,128.4095163512
2013-10-31,129.4791547814
2013-11-29,129.0331379369
2013-12-31,127.9943308534
2014-01-31,133.3493064699
2014-02-28,134.3248099864
2014-03-31,136.9031344167
2014-04-30,133.379083453
2014-05-30,125.266153985
2014-06-30,129.0675809067
2014-07-31,122.5500552737
2014-08-29,124.1141371191
2014-09-30,117.3616454321
2014-10-31,115.3443630534
2014-11-28,108.1709240986
2014-12-31,107.6263267641
2015-01-30,104.6138335901
2015-02-27,108.9344999926
2015-03-31,111.550224313
2015-04-30,108.6445863801
2015-05-29,103.11374037
2015-06-30,101.9289119363
2015-07-31,94.3713214106
2015-08-31,94.6378448965
2015-09-30,90.3363087875
2015-10-30,91.6977311628
2015-11-30,88.1603444668
2015-12-31,91.9976468842
