date,"Arca Tech 100 Index, 2001:01=100"
2001-01-31,100
2001-02-28,81.7506
2001-03-30,72.1476022698
2001-04-30,83.8892638012
2001-05-31,80.8440835252
2001-06-29,79.073598096
2001-07-31,74.9508588385
2001-08-31,68.9149912254
2001-09-28,56.351788325
2001-10-31,65.2455093174
2001-11-30,74.0586117339
2001-12-31,74.8986585668
2002-01-31,74.5249891592
2002-02-28,68.4404709443
2002-03-28,68.4404709443
2002-04-30,60.4854981255
2002-05-31,58.0617232446
2002-06-28,51.3251698669
2002-07-31,45.329055572
2002-08-30,44.7578188137
2002-09-30,38.5762269417
2002-10-31,45.0074626163
2002-11-29,51.4101342332
2002-12-31,45.8720803432
2003-01-31,45.4537269704
2003-02-28,45.7377218565
2003-03-31,45.7141669298
2003-04-30,49.8098362875
2003-05-30,55.9675772986
2003-06-30,56.3638837134
2003-07-31,59.4978283757
2003-08-29,63.3099732353
2003-09-30,61.8368767781
2003-10-31,66.7195165685
2003-11-28,68.0168775682
2003-12-31,69.9986853299
2004-01-30,73.6967158759
2004-02-27,73.0237911632
2004-03-31,71.7495990312
2004-04-30,68.9063776704
2004-05-28,68.9063776704
2004-06-30,70.9500030193
2004-07-30,65.0786064695
2004-08-31,62.8782337061
2004-09-30,65.6903998304
2004-10-29,68.8000519776
2004-11-30,72.6641380968
2004-12-31,75.360922254
2005-01-31,71.682404917
2005-02-28,71.9096381406
2005-03-31,70.1984044817
2005-04-29,67.9128146302
2005-05-31,72.9605704032
2005-06-30,72.2650372856
2005-07-29,78.1400402868
2005-08-31,78.4344719586
2005-09-30,79.4259621186
2005-10-31,77.4850298823
2005-11-30,81.6039791008
2005-12-30,81.2317833522
2006-01-31,84.7591110807
2006-02-28,84.5550111412
2006-03-31,85.0105935412
2006-04-28,84.9325538163
2006-05-31,79.0624403593
2006-06-30,76.3445899095
2006-07-31,74.9693184669
2006-08-31,78.5335847748
2006-09-29,80.7966870872
2006-10-31,83.59055573
2006-11-30,85.9784871355
2006-12-29,85.4466242141
2007-01-31,87.0531916426
2007-02-28,86.2227041943
2007-03-30,86.1634691965
2007-04-30,91.2269516274
2007-05-31,93.009799943
2007-06-29,92.5405655023
2007-07-31,91.7170470099
2007-08-31,92.6392619176
2007-09-28,96.0821074475
2007-10-31,99.5680623878
2007-11-30,93.6092125581
2007-12-31,92.1113715479
2008-01-31,83.9927673711
2008-02-29,82.4449486539
2008-03-31,82.4827908854
2008-04-30,86.5934857347
2008-05-30,92.3199995398
2008-06-30,84.4364254991
2008-07-31,86.814915169
2008-08-29,88.6926349692
2008-09-30,77.3360752172
2008-10-31,63.9344294068
2008-11-28,58.166009448
2008-12-31,60.3220489202
2009-01-30,59.5236866027
2009-02-27,55.4825639956
2009-03-31,60.6658560892
2009-04-30,66.9825670227
2009-05-29,70.6347914896
2009-06-30,71.2574371766
2009-07-31,76.9809770455
2009-08-31,78.1111347695
2009-09-30,82.17720989
2009-10-30,78.1978606782
2009-11-30,82.0327619638
2009-12-31,87.0548076512
2010-01-29,82.4218378428
2010-02-26,86.8268729663
2010-03-31,92.5249733316
2010-04-30,93.7407514812
2010-05-28,93.7407514812
2010-06-30,89.7910786583
2010-07-30,95.521275925
2010-08-31,91.6291660162
2010-09-30,102.4206994145
2010-10-29,108.3662210156
2010-11-30,109.7643619991
2010-12-31,115.602179592
2011-01-31,118.234210017
2011-02-28,122.7626984948
2011-03-31,123.1755494499
2011-04-29,127.8679220062
2011-05-31,127.7854471965
2011-06-30,125.1586895439
2011-07-29,121.5514909526
2011-08-31,113.5639778276
2011-09-30,107.3148928197
2011-10-31,120.7615562049
2011-11-30,118.3150478377
2011-12-30,115.8881695765
2012-01-31,126.3439479002
2012-02-29,134.3307805667
2012-03-30,140.7156568978
2012-04-30,137.2440609265
2012-05-31,126.0645714556
2012-06-29,131.2404045658
2012-07-31,131.4864803244
2012-08-31,136.4845444145
2012-09-28,139.7754597494
2012-10-31,132.6881450628
2012-11-30,136.6474266233
2012-12-31,140.7904399511
2013-01-31,148.5212430089
2013-02-28,149.0829503499
2013-03-28,149.0829503499
2013-04-30,148.4266872025
2013-05-31,154.7374930889
2013-06-28,151.345183028
2013-07-31,160.3959276634
2013-08-30,157.7659156375
2013-09-30,165.5963113283
2013-10-31,169.2303223804
2013-11-29,175.7336744392
2013-12-31,183.2817872237
2014-01-31,183.8354815029
2014-02-28,194.3284431161
2014-03-31,192.8946878628
2014-04-30,188.6479184148
2014-05-30,193.6104905567
2014-06-30,198.0509471576
2014-07-31,197.5029401868
2014-08-29,204.7696658651
2014-09-30,201.3731514174
2014-10-31,205.7487886245
2014-11-28,213.1403138559
2014-12-31,212.5827387948
2015-01-30,206.9186843024
2015-02-27,223.4514871781
2015-03-31,219.5607498834
2015-04-30,221.4836629309
2015-05-29,226.9999350398
2015-06-30,220.2330669763
2015-07-31,222.6272206474
2015-08-31,207.7902295273
2015-09-30,201.685560374
2015-10-30,212.5862615411
2015-11-30,215.2029858344
2015-12-31,211.8955311452
