date,"S&P500 Index, 2001:01=100"
2001-01-31,100
2001-02-28,90.8869
2001-03-30,85.1323959265
2001-04-30,91.7420751462
2001-05-31,92.3529856246
2001-06-29,90.1054833665
2001-07-31,89.2172235114
2001-08-31,83.6352587052
2001-09-28,76.8821297411
2001-10-31,78.3478875446
2001-11-30,84.3563870404
2001-12-31,85.0959394856
2002-01-31,83.8549854
2002-02-28,82.2363326169
2002-03-28,85.3289943776
2002-04-30,80.1572893574
2002-05-31,79.5634841578
2002-06-28,73.9052474184
2002-07-31,68.1461810134
2002-08-30,68.5915163063
2002-09-30,61.1438494657
2002-10-31,66.5201670054
2002-11-29,70.4317523858
2002-12-31,66.2952251365
2003-01-31,64.5619364753
2003-02-28,63.5918933797
2003-03-31,64.2068905806
2003-04-30,69.4915029167
2003-05-30,73.1490491897
2003-06-30,74.0834551441
2003-07-31,75.3873239546
2003-08-29,76.8544366661
2003-09-30,76.0396259286
2003-10-31,80.3369293483
2003-11-28,81.0417252295
2003-12-31,85.2870960056
2004-01-30,86.8523700786
2004-02-27,88.0590969085
2004-03-31,86.7305493134
2004-04-30,85.3710479529
2004-05-28,86.5394361152
2004-06-30,88.2211569773
2004-07-30,85.3019188929
2004-08-31,85.6433824742
2004-09-30,86.5709003064
2004-10-29,87.8931842377
2004-11-30,91.4487272196
2004-12-31,94.5560635218
2005-01-31,92.2514485856
2005-02-28,94.1919578066
2005-03-31,92.525796265
2005-04-29,90.7715996936
2005-05-31,93.6574103911
2005-06-30,93.7914341453
2005-07-29,97.2781307097
2005-08-31,96.3913432701
2005-09-30,97.1717275852
2005-10-31,95.5505144822
2005-11-30,99.1610817729
2005-12-30,99.1925158359
2006-01-31,101.8190344627
2006-02-28,102.0941494938
2006-03-31,103.3627713954
2006-04-28,104.7501065131
2006-05-31,101.7388552012
2006-06-30,101.871726146
2006-07-31,102.4992559791
2006-08-31,104.9342283041
2006-09-29,107.63397613
2006-10-31,111.1397223665
2006-11-30,113.2503768339
2006-12-29,114.8286340855
2007-01-31,116.5636947465
2007-02-28,114.2905861353
2007-03-30,115.5651547519
2007-04-30,120.6820331088
2007-05-31,124.8884053728
2007-06-29,122.8133845176
2007-07-31,119.0107136927
2007-08-31,120.7915900124
2007-09-28,125.3029143162
2007-10-31,127.2958571684
2007-11-30,122.0678163145
2007-12-31,121.2171257026
2008-01-31,113.9473710229
2008-02-29,110.2492090963
2008-03-31,109.7716095225
2008-04-30,115.1159501037
2008-05-30,116.6068167735
2008-06-30,106.7854910239
2008-07-31,105.8874250444
2008-08-29,107.4197219722
2008-09-30,97.8582925195
2008-10-31,81.4252430316
2008-11-28,75.5801319606
2008-12-31,76.3767465514
2009-01-30,69.9465882593
2009-02-27,62.5228770609
2009-03-31,67.9891271566
2009-04-30,74.4894316258
2009-05-29,78.6489214878
2009-06-30,78.8062979797
2009-07-31,84.7572767653
2009-08-31,87.8121832918
2009-09-30,91.0860849215
2009-10-30,89.3953450132
2009-11-30,94.7524504584
2009-12-31,96.5821202768
2010-01-29,93.1127939343
2010-02-26,95.99174841
2010-03-31,101.7818746823
2010-04-30,103.3880944467
2010-05-28,95.1407227646
2010-06-30,90.1669560599
2010-07-30,96.4806266571
2010-08-31,92.1327272168
2010-09-30,100.3519799445
2010-10-29,104.1682653898
2010-11-30,104.1849323123
2010-12-31,111.1454234552
2011-01-31,113.7791254093
2011-02-28,117.6750364425
2011-03-31,117.7197529563
2011-04-29,121.2028450068
2011-05-31,119.8282835416
2011-06-30,117.8258330953
2011-07-29,115.4333795543
2011-08-31,109.1538037066
2011-09-30,101.4866222266
2011-10-31,112.5678450209
2011-11-30,112.3146799375
2011-12-30,113.458829582
2012-01-31,118.5413313119
2012-02-29,123.6640949446
2012-03-30,127.7229978689
2012-04-30,126.9205142732
2012-05-31,119.2995719937
2012-06-29,124.2089879804
2012-07-31,125.9322634796
2012-08-31,128.76863585
2012-09-28,132.0955023258
2012-10-31,129.6604538359
2012-11-30,130.4048345014
2012-12-31,131.5869543262
2013-01-31,138.3993425386
2013-02-28,140.2767296201
2013-03-28,145.5354236601
2013-04-30,148.3359618176
2013-05-31,151.8056883005
2013-06-28,149.7686077692
2013-07-31,157.3855396231
2013-08-30,152.8348941304
2013-09-30,157.6281020802
2013-10-31,164.8660692715
2013-11-29,169.8834383576
2013-12-31,174.1658600717
2014-01-31,168.1482554404
2014-02-28,175.8262410803
2014-03-31,177.3033573316
2014-04-30,178.6113241987
2014-05-30,182.7938655774
2014-06-30,186.5672793445
2014-07-31,183.9986210425
2014-08-29,191.3480779628
2014-09-30,188.6682481309
2014-10-31,193.2670366791
2014-11-28,198.4566431481
2014-12-31,197.9460142052
2015-01-30,192.007237887
2015-02-27,203.0353656023
2015-03-31,199.8257825429
2015-04-30,201.742511449
2015-05-29,204.3367184038
2015-06-30,200.3870939737
2015-07-31,204.5838008828
2015-08-31,192.25926355
2015-09-30,187.5060377773
2015-10-30,203.3141093042
2015-11-30,203.9185621511
2015-12-31,200.6856372668
